0,1,2,3,4,5
F0002/MID1,m,F0002/MID3,f,1335472.638902472,D
F0002/MID2,f,F0002/MID3,f,2036861.4502560915,S
F0005/MID1,f,F0005/MID2,m,1985822.2387606902,D
F0005/MID3,m,F0005/MID2,m,1697404.5985004215,S
F0009/MID1,m,F0009/MID4,m,1335648.1788670216,S
F0009/MID1,m,F0009/MID3,m,1366609.8471504324,S
F0009/MID1,m,F0009/MID2,m,1839530.8941212462,S
F0009/MID1,m,F0009/MID6,m,1468830.411309115,S
F0009/MID2,m,F0009/MID4,m,1617371.9648742457,S
F0009/MID2,m,F0009/MID6,m,1747948.4069802063,S
F0009/MID2,m,F0009/MID3,m,1819271.299410762,S
F0009/MID3,m,F0009/MID4,m,1782879.4602391557,S
F0009/MID3,m,F0009/MID6,m,1977990.6452510376,S
F0009/MID4,m,F0009/MID6,m,1679644.8849860923,S
F0009/MID5,m,F0009/MID1,m,1348006.3052501015,S
F0009/MID5,m,F0009/MID2,m,1625154.14160196,S
F0009/MID5,m,F0009/MID4,m,1610649.6625600173,S
F0009/MID5,m,F0009/MID6,m,1743278.224057369,S
F0009/MID5,m,F0009/MID3,m,1987894.060421301,S
F0009/MID7,f,F0009/MID3,m,2357185.854561349,D
F0009/MID7,f,F0009/MID6,m,1926176.5266752723,D
F0009/MID7,f,F0009/MID4,m,1777410.3485212117,D
F0009/MID7,f,F0009/MID1,m,1542906.893468383,D
F0009/MID7,f,F0009/MID2,m,1736838.8868429256,D
F0010/MID1,f,F0010/MID3,m,1021214.8712545122,D
F0010/MID1,f,F0010/MID4,f,877967.4023416485,S
F0010/MID2,f,F0010/MID3,m,1191700.6627872044,D
F0010/MID2,f,F0010/MID4,f,1150481.4411222409,S
F0010/MID3,m,F0010/MID4,f,1156512.084162604,D
F0016/MID1,m,F0016/MID5,m,1682448.9659521242,S
F0016/MID1,m,F0016/MID2,m,2468569.0460995818,S
F0016/MID2,m,F0016/MID4,f,2178829.2434825287,D
F0016/MID2,m,F0016/MID3,m,1661184.3060472012,S
F0016/MID3,m,F0016/MID4,f,1710289.6790037493,D
F0017/MID1,m,F0017/MID3,m,1619762.4722393479,S
F0017/MID1,m,F0017/MID4,m,1999884.5691363716,S
F0017/MID1,m,F0017/MID7,m,1369113.3439948345,S
F0017/MID1,m,F0017/MID5,f,1794820.3039569645,D
F0017/MID1,m,F0017/MID6,m,1717052.5246942611,S
F0017/MID2,f,F0017/MID5,f,3372823.6032704255,S
F0017/MID2,f,F0017/MID4,m,3969688.4217732856,D
F0017/MID2,f,F0017/MID3,m,2818626.3044866384,D
F0017/MID2,f,F0017/MID7,m,2143651.0487271277,D
F0017/MID2,f,F0017/MID6,m,2937948.5073295645,D
